user_main_brand,item_brand,user_lat,user_lon,item_lat,item_lon,item_price,has_premium_unlock,interacted
princess polly,princess polly,43.07254012191817,-80.3222043364151,43.45770864471345,-80.46836286396318,146.58619676813447,0,0
pre-owned/thrifted,aritzia,43.427108376186126,-80.49644239869134,43.418911165415054,-80.20282316989062,143.426621747465,0,0
lululemon,walmart,43.215091524523324,-79.3123032222006,43.120230570761485,-80.49452103050633,121.01994949905101,0,1
aritzia,garage,43.42098638163319,-79.53937047570214,43.024965254949294,-80.26077664839399,40.040543518781845,0,1
gap,h&m,42.98527442424639,-80.05318808368112,43.40875226146137,-79.30694738240275,14.865410543292105,1,1
princess polly,princess polly,43.42627624368243,-80.16124527763543,43.37944169291155,-81.02956537257428,50.95109996949059,0,1
urban outfitters,h&m,43.69953098061654,-80.05867904035082,43.04348480823139,-79.94908790932715,43.685209667905475,1,1
walmart,zara,42.93856963108844,-80.89737578435513,43.46411131645645,-80.50799806722877,78.3592410212271,0,0
princess polly,h&m,43.681739347377054,-80.50972451347135,43.26413759338693,-81.03398040218534,117.77054695983,0,1
lululemon,h&m,43.225526368578294,-81.2210809342182,43.434208473282524,-80.98252647325138,129.4568261374344,0,1
lululemon,princess polly,43.59660276026981,-80.34890792502634,43.569893663816124,-79.40145378750876,127.50529238452373,1,1
aritzia,shein,43.52590838724662,-80.21395083208468,43.035782742861535,-79.54079700657647,57.15295637734483,1,1
gap,gap,43.35361300878934,-80.84450052779358,42.915315894397466,-79.48591607916995,104.64897980179902,0,1
pre-owned/thrifted,aritzia,43.49075936740106,-79.37194230566897,43.52328206911663,-79.31693444834522,50.360958641011905,1,0
aritzia,aritzia,43.60281244904108,-79.48109077812552,43.38775794012209,-80.88336921998297,13.831303769101494,0,1
aritzia,walmart,43.22331225732083,-79.85571352908819,43.459711655697696,-80.58912132527188,106.72696351242664,1,1
walmart,princess polly,43.16162652925059,-80.23322674246927,43.57052397999092,-79.96156194015026,6.424995122619237,1,0
garage,walmart,43.43407470845087,-79.56006168070462,43.5422487478596,-80.3323949202787,64.33147518148084,1,1
gap,garage,43.54627675355301,-81.03869531235307,43.66873611754306,-80.46322093324333,52.75999404880098,0,1
shein,garage,43.50982810782129,-79.71898041145023,43.3287480630817,-80.58437750132882,105.5397430852336,0,0
aritzia,walmart,43.53825091908691,-81.0503583720663,43.290796506127926,-80.11243873611309,116.10559355025494,0,1
garage,princess polly,43.24846665185035,-79.71157867490119,43.221509759912585,-80.14881314271983,49.09372221583616,0,1
shein,walmart,43.55426737294002,-80.74846486349729,43.022952834275365,-80.97708433187152,122.68591709450376,0,1
gap,aritzia,42.99616724429649,-79.54581883796362,43.35808578630562,-80.35652032496311,47.61793027321539,0,0
h&m,urban outfitters,43.33559127836868,-79.4119158123492,43.12161001946078,-80.1930564475803,69.71732219805138,0,0
urban outfitters,pre-owned/thrifted,42.90460692839849,-81.00240806118977,43.63704600977038,-80.15942612253721,110.41768641704942,0,1
garage,h&m,43.159668663920215,-80.37464878986921,43.36655264342168,-80.87978561417529,105.47343323759435,0,1
zara,pre-owned/thrifted,43.193169227897116,-79.33802524367462,43.37427214440649,-79.81545721549543,148.168428485269,0,1
h&m,princess polly,43.2169381532874,-80.3331851280537,43.18393972870161,-81.24960181035786,37.64834851131012,1,1
lululemon,lululemon,43.45637376535189,-79.57290495497091,42.941591481582165,-80.59033628891368,101.03609746323944,0,1
lululemon,pre-owned/thrifted,43.210846481016276,-80.12253695573736,42.92539501229839,-79.73957470292873,93.40387669998772,0,1
urban outfitters,garage,43.258954898098025,-80.5493401841608,43.23866811532256,-80.17221415788919,137.68927590105434,1,1
walmart,zara,43.09003530469946,-80.72843288894826,42.96765230247779,-80.77767513497828,27.672510538506884,0,0
princess polly,h&m,43.19860143330347,-80.89355381782782,43.385477564432115,-79.9100937613139,114.01073372010528,0,1
pre-owned/thrifted,gap,43.08181570181052,-79.7764036172446,43.60477840451173,-80.16521811168785,87.39894935897141,0,0
zara,lululemon,42.95855673901475,-80.52691898635395,43.60633185321498,-79.70751278108722,44.82655111924628,0,1
walmart,princess polly,43.382758874705104,-80.2774490755985,43.427236328105785,-79.82994962762035,73.79306255134024,1,1
gap,h&m,43.43457023884402,-80.31534903999763,43.06898546517834,-80.07978415592753,53.397606575120676,0,0
walmart,pre-owned/thrifted,43.39559227680769,-80.14544194153373,43.5903974650871,-80.32364464937837,89.00044340432683,0,0
princess polly,garage,43.27079523504046,-79.5688457087509,43.60887474825057,-81.03363574866495,133.90508856812656,0,1
gap,shein,43.203828624143384,-79.33852131283314,43.05732286796237,-80.77733396422923,87.54922273976929,0,0
zara,urban outfitters,43.590666919657465,-80.48483158285237,43.48994086861654,-80.46180105416583,96.59975065735469,1,1
princess polly,gap,43.31526542810897,-79.6449621557874,43.1292156391417,-80.10140142598722,80.21843783163287,0,1
shein,lululemon,43.283345502103785,-79.77094441069056,43.542112249882344,-80.2725842895694,12.418998434594005,0,0
pre-owned/thrifted,urban outfitters,42.92051365264515,-80.15294209708885,43.69779031992289,-80.72363094808094,38.76449074703367,0,0
zara,h&m,43.172998262100926,-79.38790571277613,42.92402080426351,-81.28707128442058,76.340250767652,0,0
shein,garage,43.204156495028684,-80.89905096894319,43.61789269263275,-80.30752155619837,49.984116142982195,0,0
urban outfitters,garage,43.21905822471752,-81.08147157938076,43.39810442687893,-80.72874802287551,31.35572167537316,1,1
zara,pre-owned/thrifted,43.364137895381866,-79.59207606608915,43.67870609533186,-79.83078339857893,78.09926207817355,1,1
urban outfitters,aritzia,43.3268820373815,-80.4217003667325,43.27200761402114,-81.25210746945903,51.807420049938294,1,1
gap,pre-owned/thrifted,43.38632407423476,-79.60606229158587,43.5779103444571,-80.13034437738841,42.42560826014513,1,1
shein,aritzia,43.511906609233705,-79.51381958960917,42.94991525487862,-79.41705152498787,72.27788552885522,0,0
pre-owned/thrifted,aritzia,43.55038859097288,-81.17508481276185,43.16822324006264,-80.951181465777,24.326217421915107,0,0
princess polly,gap,43.474498460981195,-79.53307047402788,42.953613230200965,-80.35670101849881,139.52313129593406,1,1
aritzia,pre-owned/thrifted,43.66441895676395,-80.40336188926115,43.680274506783256,-81.11715601636573,130.81680419828967,1,0
